Image,Info,Vendor,Name
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Bubblegum__3.5g_136x153.jpg?v=1564686583""
        alt=""Delta 9 - Bubblegum""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Bubblegum__3.5g_136x153.jpg?v=1564686583 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Bubblegum__3.5g_272x306.jpg?v=1564686583 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Bubblegum__3.5g_408x459.jpg?v=1564686583 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Bubblegum__3.5g_544x612.jpg?v=1564686583 4x""
        
        
        
      > Delta 9 - Bubblegum View full details","THC: 17-18%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
        
          
            
              Hybrid",Delta 9 Cannabis,Delta 9 - Bubblegum
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__GG-IV__3.5g_136x136.jpg?v=1564760374""
        alt=""Delta 9 - GG IV""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__GG-IV__3.5g_136x136.jpg?v=1564760374 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__GG-IV__3.5g_272x272.jpg?v=1564760374 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__GG-IV__3.5g_408x408.jpg?v=1564760374 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__GG-IV__3.5g_544x544.jpg?v=1564760374 4x""
        
        
        
      > Delta 9 - GG IV View full details","THC: 15-16%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
        
          
            
              Hybrid",Delta 9 Cannabis,Delta 9 - GG IV
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Brooklyn-Sunrise__3.5g_136x153.jpg?v=1556315104""
        alt=""Delta 9 - Brooklyn Sunrise""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Brooklyn-Sunrise__3.5g_136x153.jpg?v=1556315104 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Brooklyn-Sunrise__3.5g_272x306.jpg?v=1556315104 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Brooklyn-Sunrise__3.5g_408x459.jpg?v=1556315104 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Brooklyn-Sunrise__3.5g_544x612.jpg?v=1556315104 4x""
        
        
        
      > Delta 9 - Brooklyn Sunrise View full details","THC: 15-16%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
        
          
            
              Hybrid",Delta 9 Cannabis,Delta 9 - Brooklyn Sunrise
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__13-Dawgs__3.5g_136x153.jpg?v=1556896039""
        alt=""Delta 9 - 13 Dawgs""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__13-Dawgs__3.5g_136x153.jpg?v=1556896039 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__13-Dawgs__3.5g_272x306.jpg?v=1556896039 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__13-Dawgs__3.5g_408x459.jpg?v=1556896039 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__13-Dawgs__3.5g_544x612.jpg?v=1556896039 4x""
        
        
        
      > Delta 9 - 13 Dawgs View full details Terpenes","THC: 11-12%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
          
            
              Terpenes
          
        
        
          
            
              Hybrid",Delta 9 Cannabis,Delta 9 - 13 Dawgs
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Great-White-Shark__3.5g_136x153.jpg?v=1559579705""
        alt=""Delta 9 - Great White Shark""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Great-White-Shark__3.5g_136x153.jpg?v=1559579705 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Great-White-Shark__3.5g_272x306.jpg?v=1559579705 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Great-White-Shark__3.5g_408x459.jpg?v=1559579705 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Great-White-Shark__3.5g_544x612.jpg?v=1559579705 4x""
        
        
        
      > Delta 9 - Great White Shark","THC: 15-16%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
        
          
            
              Indica",Delta 9 Cannabis,Delta 9 - Great White Shark
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Super-Lemon-Haze__3.5g_136x153.jpg?v=1555536419""
        alt=""Delta 9 - Super Lemon Haze""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Super-Lemon-Haze__3.5g_136x153.jpg?v=1555536419 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Super-Lemon-Haze__3.5g_272x306.jpg?v=1555536419 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Super-Lemon-Haze__3.5g_408x459.jpg?v=1555536419 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Super-Lemon-Haze__3.5g_544x612.jpg?v=1555536419 4x""
        
        
        
      > Delta 9 - Super Lemon Haze View full details","THC: 14-17%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
        
          
            
              Sativa",Delta 9 Cannabis,Delta 9 - Super Lemon Haze
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Motavation__3.5g_824a095c-e2df-454c-9316-5398117b92d0_136x153.jpg?v=1559837728""
        alt=""Delta 9 - Motavation""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Motavation__3.5g_824a095c-e2df-454c-9316-5398117b92d0_136x153.jpg?v=1559837728 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Motavation__3.5g_824a095c-e2df-454c-9316-5398117b92d0_272x306.jpg?v=1559837728 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Motavation__3.5g_824a095c-e2df-454c-9316-5398117b92d0_408x459.jpg?v=1559837728 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Motavation__3.5g_824a095c-e2df-454c-9316-5398117b92d0_544x612.jpg?v=1559837728 4x""
        
        
        
      > Delta 9 - Motavation View full details","THC: 11-12%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
        
          
            
              Indica",Delta 9 Cannabis,Delta 9 - Motavation
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Blue-Venom__3.5g_136x153.jpg?v=1555536072""
        alt=""Delta 9 - Blue Venom""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Blue-Venom__3.5g_136x153.jpg?v=1555536072 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Blue-Venom__3.5g_272x306.jpg?v=1555536072 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Blue-Venom__3.5g_408x459.jpg?v=1555536072 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Blue-Venom__3.5g_544x612.jpg?v=1555536072 4x""
        
        
        
      > Delta 9 - Blue Venom View full details","THC: 11-16%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
        
          
            
              Indica",Delta 9 Cannabis,Delta 9 - Blue Venom
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__CBD-Skunk-Haze__3.5g_136x153.jpg?v=1557758018""
        alt=""Delta 9 - CBD Skunk Haze""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__CBD-Skunk-Haze__3.5g_136x153.jpg?v=1557758018 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__CBD-Skunk-Haze__3.5g_272x306.jpg?v=1557758018 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__CBD-Skunk-Haze__3.5g_408x459.jpg?v=1557758018 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__CBD-Skunk-Haze__3.5g_544x612.jpg?v=1557758018 4x""
        
        
        
      >
    
  
  
  
        
        
    
      Sale Delta 9 - CBD Skunk Haze View full details Terpenes","THC: 4-6%
            
          
          
            
            
              CBD: 7-9%
            
          
          
        
        
          
            
              Terpenes
          
        
        
          
            
              Sativa",Delta 9 Cannabis,Delta 9 - CBD Skunk Haze
"<img
        src=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Prairie-Fire_premium__3.5g_136x119.jpg?v=1555536321""
        alt=""Delta 9 - Prairie Fire""
        data-rimg=""noscript""
        srcset=""//cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Prairie-Fire_premium__3.5g_136x119.jpg?v=1555536321 1x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Prairie-Fire_premium__3.5g_272x238.jpg?v=1555536321 2x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Prairie-Fire_premium__3.5g_408x357.jpg?v=1555536321 3x, //cdn.shopify.com/s/files/1/0090/6438/2521/products/D9_product-img__Prairie-Fire_premium__3.5g_544x476.jpg?v=1555536321 4x""
        
        
        
      > Delta 9 - Prairie Fire View full details","THC: 21-23%
            
          
          
            
            
              CBD: <1%
            
          
          
        
        
        
          
            
              Indica",Delta 9 Cannabis,Delta 9 - Prairie Fire
