Name,Type,Image,Stats
Green Crack,Sativa,https://assets.wikileaf.com/assets/strains/strain/Green-Crack.jpg,THC 24%
Hindu Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Hindu-Kush-Icon.png,THC 20%
Blue Dream,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Blue-Dream-Icon.png,THC 27% / CBD 2%
Sour Diesel,Sativa,https://assets.wikileaf.com/assets/strains/strain/Sour_Diesel.jpg,THC 25%
Girl Scout Cookies,Indica,https://assets.wikileaf.com/assets/strains/strain/Girl_Scout_Cookies.png,THC 28% / CBD 1%
NYC Diesel,Sativa,https://assets.wikileaf.com/assets/strains/strain/NYC_Diesel.png,THC 22%
OG Kush,Sativa,https://assets.wikileaf.com/assets/strains/strain/OG_Kush_500x500.png,THC 27%
Jack Herer,Sativa,https://assets.wikileaf.com/assets/strains/strain/Jack_Herer.png,THC 24%
Pineapple Express,Sativa,https://assets.wikileaf.com/assets/strains/strain/Pineapple_Express.png,THC 27%
Northern Lights,Indica,https://assets.wikileaf.com/assets/strains/strain/Northern_Lights.jpg,THC 33%
Trainwreck,Sativa,https://assets.wikileaf.com/assets/strains/strain/trainwreck-strain-icon.jpg,THC 18%
Chemdawg,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Chemdawg.jpg,THC 22%
Fruity Pebbles,Indica,https://assets.wikileaf.com/assets/strains/strain/Fruity_Pebbles.png,THC 23%
Berry White,Indica,https://assets.wikileaf.com/assets/strains/strain/Berry-White-Icon.jpg,THC 22%
White Widow,Sativa,https://assets.wikileaf.com/assets/strains/strain/White-Widow-Icon.png,THC 20%
Lemon Skunk,Sativa,https://assets.wikileaf.com/assets/strains/strain/Lemon_Skunk.png,THC 22%
Skywalker,Hybrid,https://assets.wikileaf.com/assets/strains/strain/skywalker-strain-icon.jpg,THC 15%
Strawberry Cough,Sativa,https://assets.wikileaf.com/assets/strains/strain/Strawberry-Cough-Icon.jpg,THC 23%
Bubba Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Bubba_Kush.png,THC 23%
Lemon Kush,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Lemon_Kush.jpg,THC 26% / CBD 6%
Jack the Ripper,Sativa,https://assets.wikileaf.com/assets/strains/strain/Jack_the_Ripper.png,THC 17%
Lamb's Bread,Sativa,https://assets.wikileaf.com/assets/strains/strain/Lambs_Bread.jpg,THC 17%
Purple Haze,Sativa,https://assets.wikileaf.com/assets/strains/strain/Purple_Haze.png,THC 20%
Tahoe OG,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Tahoe_OG.jpg,THC 21%
Casey Jones,Sativa,https://assets.wikileaf.com/assets/strains/strain/Casey_Jones.jpg,THC 22%
Violator Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Violator_Kush.png,THC 22%
Grape Ape,Indica,https://assets.wikileaf.com/assets/strains/strain/Grape-Ape-Icon.jpg,THC 25%
Cannatonic,Hybrid,https://assets.wikileaf.com/assets/strains/strain/str-cannaton_500x500.png,THC 6% / CBD 2%
Harlequin,Sativa,https://assets.wikileaf.com/assets/strains/strain/Harlequin-Icon.png,THC 10% / CBD 13%
Wonder Woman,Sativa,https://assets.wikileaf.com/assets/strains/strain/Wonder_Woman_500x500.png,THC 20%
Blue Cheese,Indica,https://assets.wikileaf.com/assets/strains/strain/Blue-Cheese-Icon.png,THC 20%
Pennywise,Indica,https://assets.wikileaf.com/assets/strains/strain/Pennywise-icon.png,THC 15%
Gorilla Glue #4,Sativa,https://assets.wikileaf.com/assets/strains/strain/Gorilla_Glue_4_500x500.png,THC 32%
Skywalker OG,Indica,https://assets.wikileaf.com/assets/strains/strain/Skywalker_OG.jpg,THC 26%
Gorilla Glue,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Gorilla-Glue-Icon.jpg,THC 28%
Durban Poison,Sativa,https://assets.wikileaf.com/assets/strains/strain/Durban_Poison.jpg,THC 26%
Gelato,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Gelato-icon.png,THC 25%
Granddaddy Purple,Indica,https://assets.wikileaf.com/assets/strains/strain/Grand_Daddy_Purple.png,THC 23%
Cherry Pie,Indica,https://assets.wikileaf.com/assets/strains/strain/Str-CherryPie_500x500.png,THC 26%
Wedding Cake,Indica,https://assets.wikileaf.com/assets/strains/strain/Wedding-Cake-icon.png,THC 25%
Khalifa Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Khalifa_Kush.png,THC 29% / CBD 2%
Death Star,Indica,https://assets.wikileaf.com/assets/strains/strain/Death_Star.jpg,THC 26%
Lemon Haze,Sativa,https://assets.wikileaf.com/assets/strains/strain/Lemon_Haze.jpg,THC 25%
Larry OG,Indica,https://assets.wikileaf.com/assets/strains/strain/Larry-OG-icon.png,THC 24%
Strawberry Banana,Indica,https://assets.wikileaf.com/assets/strains/strain/Strawberry_Banana.jpg,THC 33%
Sour OG,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Sour_OG.png,THC 27%
Shishkaberry,Indica,https://assets.wikileaf.com/assets/strains/strain/Shishkaberry.jpg,THC 26%
Blue Cookies,Indica,https://assets.wikileaf.com/assets/strains/strain/Blue_Cookies.png,THC 25%
Tangie,Sativa,https://assets.wikileaf.com/assets/strains/strain/Tangie.jpg,THC 22%
Orange Kush,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Orange_Kush.jpg,THC 24%
Lucky Charms,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Lucky-Charms-Icon.png,THC 22%
Orange Creamsicle,Sativa,https://assets.wikileaf.com/assets/strains/strain/Orange-Creamsicle-Icon.png,THC 18%
Chronic,Sativa,https://assets.wikileaf.com/assets/strains/strain/Chronic.png,THC 20%
Monster Cookies,Indica,https://assets.wikileaf.com/assets/strains/strain/Monster-Cookies-Icon.png,THC 16%
Purple Candy,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Purple_Candy.jpg,THC 19%
Raspberry Cough,Sativa,https://assets.wikileaf.com/assets/strains/strain/Raspberry_Cough.jpg,THC 24%
U.K. Cheese,Hybrid,https://assets.wikileaf.com/assets/strains/strain/U.K._Cheese.png,THC 18%
Armageddon,Sativa,https://assets.wikileaf.com/assets/strains/strain/Armageddon.jpg,THC 20%
Aspen OG,Sativa,https://assets.wikileaf.com/assets/strains/strain/Aspen_OG.png,THC 20%
Charlotte's Web,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Charlottes-Web-Icon.jpg,THC 1% / CBD 12%
Sour Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/str-sourk_500x500.png,THC 26%
Sour Apple,Indica,https://assets.wikileaf.com/assets/strains/strain/str-sour_500x500.png,THC 27%
Lemon Pie,Sativa,https://assets.wikileaf.com/assets/strains/strain/Lemon_Pie.png,THC 22%
Cookie Monster,Indica,https://assets.wikileaf.com/assets/strains/strain/str-cookmonster_500x500.png,THC 23%
Orange Bud,Indica,https://assets.wikileaf.com/assets/strains/strain/Orange-Bud-Icon.png,THC 17%
Zkittlez,Indica,https://assets.wikileaf.com/assets/strains/strain/Zkittlez.jpg,THC 23%
Alaskan Ice,Sativa,https://assets.wikileaf.com/assets/strains/strain/Alaskan-Ice-icon.png,THC 22%
Private Reserve,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Private_Reserve.png,THC 25%
Hardcore OG,Indica,https://assets.wikileaf.com/assets/strains/strain/Hardcore_OG.png,THC 28%
Cookies Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Cookies_Kush.png,THC 18%
OGKB,Indica,https://assets.wikileaf.com/assets/strains/strain/OGKB.png,THC 25%
Cherry Diesel,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Cherry_Diesel.png,THC 19%
Mendo Breath,Indica,https://assets.wikileaf.com/assets/strains/strain/Mendo_Breath.png,THC 20%
Tangerine,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Tangerine.jpg,THC 18%
White Cookies,Indica,https://assets.wikileaf.com/assets/strains/strain/White_Cookies.jpg,THC 20%
Sugar Cookie,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Sugar_Cookie.jpg,THC 25%
White Walker OG,Hybrid,https://assets.wikileaf.com/assets/strains/strain/White_Walker_OG.jpg,THC 22%
OG Skunk,Sativa,https://assets.wikileaf.com/assets/strains/strain/OG_Skunk.png,THC 26%
Green Poison,Indica,https://assets.wikileaf.com/assets/strains/strain/Green_Poison.jpg,THC 20%
Mango,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Mango.png,THC 24%
Godfather OG,Indica,https://assets.wikileaf.com/assets/strains/strain/godfather-og-strain-icon.jpg,THC 28%
Super Jack,Sativa,https://assets.wikileaf.com/assets/strains/strain/Super_Jack.png,THC 24%
Strawberry Kush,Sativa,https://assets.wikileaf.com/assets/strains/strain/Strawberry_Kush.jpg,THC 23%
Strawberry Cheesecake,Indica,https://assets.wikileaf.com/assets/strains/strain/Strawberry_Cheesecake.png,THC 22%
Face Off OG,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Face_Off_OG.png,THC 20%
Black Tuna,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Strain-BlackTuna.png,THC 20%
Elmer's Glue,Indica,https://assets.wikileaf.com/assets/strains/strain/Elmers_Glue.jpg,THC 24%
Trump OG,Indica,https://assets.wikileaf.com/assets/strains/strain/Trump_OG_500x500.png,THC 20%
French Toast,Hybrid,https://assets.wikileaf.com/assets/strains/strain/French_Toast.jpg,THC 0%
Bakerstreet,Indica,https://assets.wikileaf.com/assets/strains/strain/Strain-BakerStreet.png,THC 28%
Apple Jack,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Apple_Jack.png,THC 20%
Strawberry Lemonade,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Strawberry_Lemonade.png,THC 28%
Mother of Berries,Indica,https://assets.wikileaf.com/assets/strains/strain/Mother_of_Berries.jpg,THC 24%
Silver Bubble,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Silver_Bubble.png,THC 20%
Red Poison,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Red_Poison.jpg,THC 21%
Chocolate Fondue,Sativa,https://assets.wikileaf.com/assets/strains/strain/Chocolate_Fondue.png,THC 17%
LSD,Indica,https://assets.wikileaf.com/assets/strains/strain/LSD.png,THC 24%
Acapulco Gold,Sativa,https://assets.wikileaf.com/assets/strains/strain/Acapulco-Gold-Icon.png,THC 23%
Maui Waui,Sativa,https://assets.wikileaf.com/assets/strains/strain/Maui-Waui-Icon.jpg,THC 19%
Headband,Indica,https://assets.wikileaf.com/assets/strains/strain/Headband_500x500.png,THC 27%
Jillybean,Sativa,https://assets.wikileaf.com/assets/strains/strain/Jillybean-Icon.jpg,THC 18%
Black Widow,Sativa,https://assets.wikileaf.com/assets/strains/strain/Black-Widow-Icon.jpg,THC 28%
Moby Dick,Sativa,https://assets.wikileaf.com/assets/strains/strain/Moby_Dick_500x500.png,THC 21%
Jack Frost,Sativa,https://assets.wikileaf.com/assets/strains/strain/Jack-Frost-Icon.png,THC 21%
Apollo 13,Sativa,https://assets.wikileaf.com/assets/strains/strain/Apollo-13-Icon.png,THC 18%
Cat Piss,Sativa,https://assets.wikileaf.com/assets/strains/strain/Cat-Piss-Icon.png,THC 20%
Ice Cream,Indica,https://assets.wikileaf.com/assets/strains/strain/Ice_Cream_500x500.png,THC 22%
Lavender Haze,Indica,https://assets.wikileaf.com/assets/strains/strain/Lavender_Haze.jpg,THC 20%
